title,issn,id,area,rank
管理世界,1002-5502,,Chinese Journals,T1
经济研究,0577-9154,,Chinese Journals,T1
管理科学学报,1007-9807,,Chinese Journals,T1
中国社会科学,1002-4921,,Chinese Journals,T1
南开管理评论,1008-3448,,Chinese Journals,T1
系统工程理论与实践,1000-6788,,Chinese Journals,T1
中国工业经济,1006-480X,,Chinese Journals,T1
金融研究,1002-7246,,Chinese Journals,T1
中国管理科学,1003-207X,,Chinese Journals,T1
会计研究,1003-2886,,Chinese Journals,T1
经济学（季刊）,2095-1086,,Chinese Journals,T1
世界经济,1002-9621,,Chinese Journals,T1
管理工程学报,1004-6062,,Chinese Journals,T1
公共管理学报,1672-6162,,Chinese Journals,T1
中国软科学,1005-0566,,Chinese Journals,T1
管理科学,1672-0334,,Chinese Journals,T1
数量经济技术经济研究,1000-3894,,Chinese Journals,T1
心理学报,0439-755X,,Chinese Journals,T1
科研管理,1000-2995,,Chinese Journals,T1
管理评论,1003-1952,,Chinese Journals,T1
科学学研究,1003-2053,,Chinese Journals,T1
情报学报,1000-0135,,Chinese Journals,T1
统计研究,1002-4565,,Chinese Journals,T1
中国农村经济,1002-8870,,Chinese Journals,T1
中国图书馆学报,1001-8867,,Chinese Journals,T1
工程管理科技前沿,2097-0145,,Chinese Journals,T1
管理学报,1672-884X,,Chinese Journals,T1
计量经济学报,2096-9732,,Chinese Journals,T1
系统工程学报,1000-5781,,Chinese Journals,T2
中国行政管理,1006-0863,,Chinese Journals,T2
审计研究,1002-4239,,Chinese Journals,T2
财贸经济,1002-8102,,Chinese Journals,T2
系统管理学报,1005-2542,,Chinese Journals,T2
经济学动态,1002-8390,,Chinese Journals,T2
运筹与管理,1007-3221,,Chinese Journals,T2
农业经济问题,1000-6389,,Chinese Journals,T2
科学学与科学技术管理,1002-0241,,Chinese Journals,T2
经济科学,1002-5839,,Chinese Journals,T2
财经研究,1001-9952,,Chinese Journals,T2
经济管理,1002-5766,,Chinese Journals,T2
中国人口·资源与环境,1002-2104,,Chinese Journals,T2
南开经济研究,1001-4691,,Chinese Journals,T2
研究与发展管理,1004-8308,,Chinese Journals,T2
国际金融研究,1006-1029,,Chinese Journals,T2
经济理论与经济管理,1000-596X,,Chinese Journals,T2
国际贸易问题,1002-4670,,Chinese Journals,T2
经济学家,1003-5656,,Chinese Journals,T2
财政研究,1003-2878,,Chinese Journals,T2
营销科学学报,2097-0099,,Chinese Journals,T2
工业工程与管理,1007-5429,,Chinese Journals,T2
数理统计与管理,1002-1566,,Chinese Journals,T2
改革,1003-7543,,Chinese Journals,T2
外国经济与管理,1001-4950,,Chinese Journals,T2
保险研究,1004-3306,,Chinese Journals,T2
中国农村观察,1006-4583,,Chinese Journals,T2
旅游学刊,1002-5006,,Chinese Journals,T2
经济社会体制比较,1003-3947,,Chinese Journals,T2
经济评论,1005-3425,,Chinese Journals,T2
系统科学与数学,1000-0577,,Chinese Journals,T2
世界经济研究,1007-6964,,Chinese Journals,T2
经济地理,1000-8462,,Chinese Journals,T2
国际经济评论,1007-0974,,Chinese Journals,T2
产业经济研究,1671-9301,,Chinese Journals,T2
世界经济文汇,0253-9772,,Chinese Journals,T2
农业技术经济,1000-6370,,Chinese Journals,T2
公共行政评论,1674-2486,,Chinese Journals,T2
经济与管理研究,1000-7636,,Chinese Journals,T2
宏观经济研究,1008-2069,,Chinese Journals,T2
财经科学,1000-8306,,Chinese Journals,T2
当代经济科学,1002-2848,,Chinese Journals,T2
图书情报工作,0252-3116,,Chinese Journals,T2
资源科学,1007-7588,,Chinese Journals,T2
当代财经,1005-0892,,Chinese Journals,T2
财贸研究,1001-6260,,Chinese Journals,T2
中国经济问题,1000-4181,,Chinese Journals,T2
审计与经济研究,1004-4833,,Chinese Journals,T2
图书情报知识,1003-2797,,Chinese Journals,T2
金融评论,1674-7690,,Chinese Journals,T2
交通运输系统工程与信息,1009-6744,,Chinese Journals,T2
金融论坛,1009-9190,,Chinese Journals,T2
数据分析与知识发现, 2096-3467,,Chinese Journals,T2
南方经济,1000-6249,,Chinese Journals,T2
国际经贸探索,1002-0594,,Chinese Journals,T2
金融经济学研究,1674-1625,,Chinese Journals,T2
信息资源管理学报,2095-2171,,Chinese Journals,T2
会计与经济研究,2096-9554,,Chinese Journals,T2
公共管理评论,2096-7713,,Chinese Journals,T2
经济学报,2095-7254,,Chinese Journals,T2
电子政务,1672-7223,,Chinese Journals,T2
