title,issn,id,area,library
管理世界,1002-5502,98925,Chinese Journals,-1
经济研究,0577-9154,96390,Chinese Journals,-1
管理科学学报,1007-9807,98936,Chinese Journals,-1
中国社会科学,1002-4921,94287,Chinese Journals,-1
南开管理评论,1008-3448,96532,Chinese Journals,-1
系统工程理论与实践,1000-6788,169309,Chinese Journals,-1
中国工业经济,1006-480X,94183,Chinese Journals,-1
金融研究,1002-7246,96462,Chinese Journals,-1
中国管理科学,1003-207X,94429,Chinese Journals,-1
会计研究,1003-2886,95290,Chinese Journals,-1
经济学（季刊）,2095-1086,96378,Chinese Journals,-1
世界经济,1002-9621,94935,Chinese Journals,-1
管理工程学报,1004-6062,98918,Chinese Journals,-1
公共管理学报,1672-6162,94570,Chinese Journals,-1
中国软科学,1005-0566,343618,Chinese Journals,-1
管理科学,1672-0334,98932,Chinese Journals,-1
数量经济技术经济研究,1000-3894,98795,Chinese Journals,-1
心理学报,0439-755X,94722,Chinese Journals,-1
科研管理,1000-2995,96834,Chinese Journals,-1
管理评论,1003-1952,98927,Chinese Journals,-1
科学学研究,1003-2053,96827,Chinese Journals,-1
情报学报,1000-0135,130070,Chinese Journals,-1
统计研究,1002-4565,96844,Chinese Journals,-1
中国农村经济,1002-8870,94247,Chinese Journals,-1
中国图书馆学报,1001-8867,94309,Chinese Journals,-1
工程管理科技前沿,2097-0145,499452,Chinese Journals,-1
管理学报,1672-884X,98934,Chinese Journals,-1
计量经济学报,2096-9732,468241,Chinese Journals,-1
