title,issn,id,area,rank,library
American Economic Journal: Applied Economics,1945-7782,34809,Development Economics,A,3050
Journal of Development Economics,0304-3878,864,Development Economics,A,3050
Journal of Public Economics,0047-2727,5802,Development Economics,A,3050
RAND Journal of Economics,0741-6261,6796,Development Economics,A,3050
American Economic Journal: Economic Policy,1945-7731,34812,Development Economics,B,3050
Brookings Papers on Economic Activity,0007-2303,10838,Development Economics,B,3050
China Economic Review,1043-951X,6984,Development Economics,B,3050
Economic Development and Cultural Change,0013-0079,33283,Development Economics,B,215
Gender and Education,0954-0253,16786,Development Economics,B,215
International Journal of Industrial Organization,0167-7187,6040,Development Economics,B,3050
Journal of Comparative Economics,0147-5967,1741,Development Economics,B,3050
Journal of Development Studies,0022-0388,16574,Development Economics,B,3050
Journal of Economic Growth,1381-4338,2128,Development Economics,B,215
Journal of Economics & Management Strategy,1058-6407,7133,Development Economics,B,3050
Journal of Industrial Economics,0022-1821,6904,Development Economics,B,3050
Journal of Real Estate Finance and Economics,0895-5638,6540,Development Economics,B,3050
Journal of Regulatory Economics,0922-680X,4735,Development Economics,B,3050
Real Estate Economics,1080-8620,6066,Development Economics,B,3050
Review of Income and Wealth,0034-6586,11271,Development Economics,B,3050
World Bank Economic Review,0258-6770,10482,Development Economics,B,3050
World Development,0305-750X,4151,Development Economics,B,3050
B.E. Journal of Economic Analysis & Policy,1935-1682,38764,Development Economics,C,3050
China & World Economy,1671-2234,7638,Development Economics,C,3050
Economics & Politics,0954-1985,4551,Development Economics,C,3050
Economics of Transition and Institutional Change,2577-6975,369229,Development Economics,C,3050
Fiscal Studies,0143-5671,5208,Development Economics,C,3050
Information Economics and Policy,0167-6245,4908,Development Economics,C,3050
International Journal of the Economics of Business,1357-1516,17082,Development Economics,C,866
Journal of African Economies,0963-8024,10486,Development Economics,C,3050
Journal of Economic Inequality,1569-1721,5187,Development Economics,C,3050
Journal of Housing Economics,1051-1377,1934,Development Economics,C,3050
Journal of International Development,0954-1748,13032,Development Economics,C,3050
Journal of Real Estate Research,0896-5803,440577,Development Economics,C,215
Journal of Revenue and Pricing Management,1476-6930,10633,Development Economics,C,3050
Managerial and Decision Economics,0143-6570,12567,Development Economics,C,3050
Manchester School,1463-6786,5487,Development Economics,C,3050
National Tax Journal,0028-0283,74150,Development Economics,C,215
Oxford Development Studies,1360-0818,16925,Development Economics,C,3050
Post Communist Economies,1463-1377,17143,Development Economics,C,215
Review of Development Economics,1363-6669,6118,Development Economics,C,3050
Review of Economics of the Household,1569-5239,4758,Development Economics,C,3050
Review of Industrial Organization,0889-938X,4420,Development Economics,C,215
Review of Network Economics,2194-5993,32662,Development Economics,C,215
Asian Economic Journal,1351-3958,4284,Development Economics,D,215
China Economic Journal,1753-8963,17766,Development Economics,D,554
Comparative Economic Studies,0888-7233,10574,Development Economics,D,215
Economic and Political Studies,2095-4816,350537,Development Economics,D,215
Economic Change and Restructuring,1573-9414,4297,Development Economics,D,215
International Journal of Strategic Property Management,1648-715X,64556,Development Economics,D,215
Journal of Property Investment & Finance,1463-578X,10079,Development Economics,D,215
Telecommunications Policy,0308-5961,5376,Development Economics,D,215
Entrepreneurship Theory and Practice,1042-2587,11092,Management,A,215
Journal of Business Venturing,0883-9026,5389,Management,A,215
Strategic Entrepreneurship Journal,1932-4391,12947,Management,A,215
Entrepreneurship and Regional Development,0898-5626,16840,Management,B,215
Family Business Review,0894-4865,3513,Management,B,215
International Small Business Journal,0266-2426,845,Management,B,215
Journal of Small Business Management,0047-2778,38909,Management,B,853
Small Business Economics,0921-898X,4459,Management,B,215
Entrepreneurship Research Journal,2194-6175,32690,Management,C,215
International Entrepreneurship and Management Journal,1554-7191,2734,Management,C,215
International Journal of Entrepreneurial Behaviour & Research,1355-2554,10029,Management,C,215
Journal of Business Venturing Insights,2352-6734,66644,Management,C,230
Journal of Family Business Strategy,1877-8585,573,Management,C,230
International Journal of Entrepreneurship and Innovation,1465-7503,40597,Management,D,866
