title,issn,id,area,rank,library
American Economic Journal: Applied Economics,1945-7782,34809.0,Development Economics,A,3050
Journal of Development Economics,0304-3878,864.0,Development Economics,A,3050
Journal of Public Economics,0047-2727,5802.0,Development Economics,A,3050
RAND Journal of Economics,0741-6261,6796.0,Development Economics,A,3050
American Economic Journal: Economic Policy,1945-7731,34812.0,Development Economics,B,3050
Brookings Papers on Economic Activity,0007-2303,10838.0,Development Economics,B,3050
China Economic Review,1043-951X,6984.0,Development Economics,B,3050
Economic Development and Cultural Change,0013-0079,33283.0,Development Economics,B,3050
Gender and Education,0954-0253,16786.0,Development Economics,B,3050
International Journal of Industrial Organization,0167-7187,6040.0,Development Economics,B,3050
Journal of Comparative Economics,0147-5967,1741.0,Development Economics,B,3050
Journal of Development Studies,0022-0388,16574.0,Development Economics,B,3050
Journal of Economic Growth,1381-4338,2128.0,Development Economics,B,3050
Journal of Economics & Management Strategy,1058-6407,7133.0,Development Economics,B,3050
Journal of Industrial Economics,0022-1821,6904.0,Development Economics,B,3050
Journal of Real Estate Finance and Economics,0895-5638,6540.0,Development Economics,B,3050
Journal of Regulatory Economics,0922-680X,4735.0,Development Economics,B,3050
Real Estate Economics,1080-8620,6066.0,Development Economics,B,3050
Review of Income and Wealth,0034-6586,11271.0,Development Economics,B,3050
World Bank Economic Review,0258-6770,10482.0,Development Economics,B,3050
World Development,0305-750X,4151.0,Development Economics,B,3050
Entrepreneurship Theory and Practice,1042-2587,11092.0,Management,A,3050
Journal of Business Venturing,0883-9026,5389.0,Management,A,3050
Strategic Entrepreneurship Journal,1932-4391,12947.0,Management,A,3050
Entrepreneurship and Regional Development,0898-5626,16840.0,Management,B,3050
Family Business Review,0894-4865,3513.0,Management,B,3050
International Small Business Journal,0266-2426,845.0,Management,B,3050
Journal of Small Business Management,0047-2778,38909.0,Management,B,3050
Small Business Economics,0921-898X,4459.0,Management,B,3050
Risk Analysis,0272-4332,11429.0,Management,A,3050
Accident Analysis and Prevention,0001-4575,4943,Management,B,215
Disasters,0361-3666,4494.0,Management,B,3050
Journal of Risk,1465-1211,68439.0,Management,B,3050
Journal of Risk and Uncertainty,0895-5646,4511.0,Management,B,3050
Journal of Safety Research,0022-4375,6680,Management,B,215
Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,1748-006X,5430,Management,B,215
Reliability Engineering & System Safety,0951-8320,7146,Management,B,866
Safety Science,0925-7535,3113.0,Management,B,3050
Security Dialogue,0967-0106,1227.0,Management,B,3050
European Journal of Operational Research,0377-2217,6925,Management,A,866
Frontiers of Engineering Management,2095-7513,147684.0,Management,A,3050
IISE Transactions,2472-5862,243646.0,Management,A,3050
Construction Management and Economics,0144-6193,17071.0,Management,B,3050
IEEE Transactions on Engineering Management,0018-9391,336,Management,B,866
International Journal of Project Management,0263-7863,4843.0,Management,B,3050
Journal of Civil Engineering and Management,1392-3730,194987.0,Management,B,3050
Journal of Construction Engineering and Management,0733-9364,32415.0,Management,B,3050
Journal of Management in Engineering,0742-597X,32431.0,Management,B,3050
Journal of Quality Technology,0022-4065,366139.0,Management,B,3050
Journal of Public Administration Research and Theory,1053-1858,10306.0,Management,A,3050
Public Administration,0033-3298,5830.0,Management,A,3050
Public Administration Review,0033-3352,6025.0,Management,A,3050
Public Management Review,1471-9037,17166.0,Management,A,3050
Administration & Society,0095-3997,8686.0,Management,B,3050
American Review of Public Administration,0275-0740,1496.0,Management,B,3050
Governance,0952-1895,4084.0,Management,B,3050
Government Information Quarterly,0740-624X,6948.0,Management,B,3050
International Public Management Journal,1096-7494,15721.0,Management,B,3050
Journal of Policy Analysis and Management,0276-8739,12413.0,Management,B,3050
Nonprofit and Voluntary Sector Quarterly,0899-7640,857.0,Management,B,3050
Policy and Politics,0305-5736,78275,Management,B,215
Public Opinion Quarterly,0033-362X,10431.0,Management,B,3050
Regulation & Governance,1748-5983,707.0,Management,B,3050
Journal of International Business Studies,0047-2506,10571.0,Other,A,3050
Journal of World Business,1090-9516,4971.0,Other,A,3050
Asia Pacific Journal of Management,0217-4561,3630.0,Other,B,3050
Australian Journal of International Affairs,1035-7718,17097.0,Other,B,3050
Economy and Society,0308-5147,17161,Other,B,215
European Journal of International Relations,1354-0661,1311.0,Other,B,3050
Foreign Affairs,0015-7120,59269.0,Other,B,3050
International Affairs,0020-5850,4969.0,Other,B,3050
International Business Review,0969-5931,631.0,Other,B,3050
International Studies Quarterly,0020-8833,5015.0,Other,B,3050
Journal of Conflict Resolution,0022-0027,2351.0,Other,B,3050
Journal of European Public Policy,1350-1763,16984,Other,B,215
Journal of International Management,1075-4253,661.0,Other,B,3050
Journal of Social Policy,0047-2794,18965.0,Other,B,3050
Management International Review,0938-8249,1381.0,Other,B,3050
Review of International Political Economy,0969-2290,16987.0,Other,B,3050
Socio-Economic Review,1475-1461,10311.0,Other,B,3050
American Economic Journal: Macroeconomics,1945-7707,34810.0,Economics,A,3050
Journal of International Economics,0022-1996,5567.0,Economics,A,3050
Journal of Monetary Economics,0304-3932,6659.0,Economics,A,3050
Economic Policy,0266-4658,6404.0,Economics,B,3050
IMF Economic Review,2041-4161,10570.0,Economics,B,3050
Journal of Economic Dynamics and Control,0165-1889,4214.0,Economics,B,3050
Macroeconomic Dynamics,1365-1005,19015.0,Economics,B,3050
NBER Macroeconomics Annual,0889-3365,33443.0,Economics,B,3050
Oxford Bulletin of Economics and Statistics,0305-9049,11857.0,Economics,B,3050
Review of Economic Dynamics,1094-2025,647.0,Economics,B,3050
Review of International Economics,0965-7576,11270.0,Economics,B,3050
